# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
  157       1.587414298195e-13       1.303553415479e-12       1.320500121940e-12       7.683051640326e-13                     -nan       3.168419841766e-13       3.150015524622e-12 
  158       1.571892275721e-13       1.289383689534e-12       1.315792976126e-12       7.636415944105e-13                     -nan       3.129542484015e-13       3.111840871325e-12 
  159       1.556642839944e-13       1.275462373128e-12       1.311275757652e-12       7.590885699908e-13                     -nan       3.091374625937e-13       3.074362692030e-12 
  160       1.541645011769e-13       1.261770673996e-12       1.306937430729e-12       7.546381354473e-13                     -nan       3.053864335336e-13       3.037530061700e-12 
  161       1.526880421976e-13       1.248292130989e-12       1.302768425512e-12       7.502833298721e-13                     -nan       3.016966074926e-13       3.001298334920e-12 
  162       1.512347891023e-13       1.235025622063e-12       1.298768828509e-12       7.460237689097e-13                     -nan       2.980676329787e-13       2.965664141563e-12 
  163       1.498050067351e-13       1.221973443347e-12       1.294940875904e-12       7.418605286747e-13                     -nan       2.945000958483e-13       2.930633316707e-12 
  164       1.483988807648e-13       1.209137187642e-12       1.291286357972e-12       7.377943767833e-13                     -nan       2.909943905569e-13       2.896209813165e-12 
  165       1.470165158139e-13       1.196517727870e-12       1.287806608281e-12       7.338257650234e-13                     -nan       2.875507156918e-13       2.862395657527e-12 
  166       1.456579335889e-13       1.184115200532e-12       1.284502492896e-12       7.299548220254e-13                     -nan       2.841690695051e-13       2.829190906180e-12 
  167       1.443230710089e-13       1.171928989158e-12       1.281374399579e-12       7.261813459318e-13                     -nan       2.808492454466e-13       2.796593601347e-12 
  168       1.430117783356e-13       1.159957707764e-12       1.278422226993e-12       7.225047970681e-13                     -nan       2.775908276969e-13       2.764599727110e-12 
  169       1.417238173022e-13       1.148199184305e-12       1.275645373908e-12       7.189242906130e-13                     -nan       2.743931867000e-13       2.733203165447e-12 
  170       1.404588592436e-13       1.136650444127e-12       1.273042728397e-12       7.154385892685e-13                     -nan       2.712554746966e-13       2.702395652261e-12 
  171       1.392164832249e-13       1.125307693427e-12       1.270612657046e-12       7.120460959306e-13                     -nan       2.681766212567e-13       2.672166733406e-12 
  172       1.379961741717e-13       1.114166302696e-12       1.268352994149e-12       7.087448463593e-13                     -nan       2.651553288130e-13       2.642503720724e-12 
  173       1.367973209990e-13       1.103220790186e-12       1.266261030919e-12       7.055325018491e-13                     -nan       2.621900681933e-13       2.613391648072e-12 
  174       1.356192147406e-13       1.092464805353e-12       1.264333504685e-12       7.024063418991e-13                     -nan       2.592790741539e-13       2.584813227353e-12 
  175       1.344610466791e-13       1.081891112318e-12       1.262566588094e-12       6.993632568837e-13                     -nan       2.564203409122e-13       2.556748804546e-12 
  176       1.333219064746e-13       1.071491573315e-12       1.260955878320e-12       6.963997407226e-13                     -nan       2.536116176799e-13       2.529176315739e-12 
  177       1.322007802947e-13       1.061257132151e-12       1.259496386259e-12       6.935118835513e-13                     -nan       2.508504041957e-13       2.502071243157e-12 
  178       1.310965489437e-13       1.051177797656e-12       1.258182525737e-12       6.906953643914e-13                     -nan       2.481339462585e-13       2.475406571193e-12 
  179       1.300079859919e-13       1.041242627138e-12       1.257008102711e-12       6.879454438207e-13                     -nan       2.454592312600e-13       2.449152742441e-12 
  180       1.289340273175e-13       1.031442122217e-12       1.255967839294e-12       6.852580005712e-13                     -nan       2.428236401904e-13       2.423284064691e-12 
  181       1.278746075973e-13       1.021775663851e-12       1.255062103847e-12       6.826327487748e-13                     -nan       2.402269709410e-13       2.397798593298e-12 
  182       1.268298868698e-13       1.012244637910e-12       1.254292537016e-12       6.800702629705e-13                     -nan       2.376695676264e-13       2.372699748471e-12 
  183       1.257999842334e-13       1.002850068299e-12       1.253660545589e-12       6.775709536985e-13                     -nan       2.351516765303e-13       2.347989986267e-12 
  184       1.247849769757e-13       9.935926092963e-13       1.253167297350e-12       6.751350640159e-13                     -nan       2.326734440565e-13       2.323670778374e-12 
  185       1.237848997024e-13       9.844725378919e-13       1.252813715939e-12       6.727626660120e-13                     -nan       2.302349146797e-13       2.299742591911e-12 
  186       1.227997434667e-13       9.754897461293e-13       1.252600475704e-12       6.704536573233e-13                     -nan       2.278360288964e-13       2.276204869213e-12 
  187       1.218294548980e-13       9.666437334432e-13       1.252527996557e-12       6.682077576492e-13                     -nan       2.254766211760e-13       2.253056007623e-12 
  188       1.208739353314e-13       9.579335989993e-13       1.252596438832e-12       6.660245052671e-13                     -nan       2.231564179113e-13       2.230293339286e-12 
  189       1.199330399366e-13       9.493580340331e-13       1.252805698141e-12       6.639032535483e-13                     -nan       2.208750353696e-13       2.207913110938e-12 
